[2026-05-12 11:34:13] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:60734 | mensaje: client_id=client-2; group_id=2; seq=1; message=Prueba guardado grupo 2
[2026-05-12 11:41:56] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:32842 | mensaje: client_id=client-7; group_id=2; seq=1; timestamp_ms=1778586116634; message=Mensaje con latencia grupo 2
[2026-05-12 11:47:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:41548 | mensaje: client_id=client-7; group_id=2; seq=1; timestamp_ms=1778586454219; message=Mensaje con latencia grupo 2
[2026-05-12 11:52:31] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47534 | mensaje: client_id=send-6; group_id=2; seq=1; timestamp_ms=1778586751704; message=carga grupo 2
[2026-05-12 11:52:31] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47542 | mensaje: client_id=send-7; group_id=2; seq=1; timestamp_ms=1778586751724; message=carga grupo 2
[2026-05-12 11:52:31] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47550 | mensaje: client_id=send-9; group_id=2; seq=1; timestamp_ms=1778586751730; message=carga grupo 2
[2026-05-12 11:52:31] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47562 | mensaje: client_id=send-10; group_id=2; seq=1; timestamp_ms=1778586751743; message=carga grupo 2
[2026-05-12 11:52:31] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47572 | mensaje: client_id=send-8; group_id=2; seq=1; timestamp_ms=1778586751752; message=carga grupo 2
[2026-05-12 11:52:32] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47576 | mensaje: client_id=send-6; group_id=2; seq=2; timestamp_ms=1778586752716; message=carga grupo 2
[2026-05-12 11:52:32] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47586 | mensaje: client_id=send-7; group_id=2; seq=2; timestamp_ms=1778586752728; message=carga grupo 2
[2026-05-12 11:52:32] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47600 | mensaje: client_id=send-10; group_id=2; seq=2; timestamp_ms=1778586752745; message=carga grupo 2
[2026-05-12 11:52:32] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47606 | mensaje: client_id=send-9; group_id=2; seq=2; timestamp_ms=1778586752744; message=carga grupo 2
[2026-05-12 11:52:32] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47612 | mensaje: client_id=send-8; group_id=2; seq=2; timestamp_ms=1778586752759; message=carga grupo 2
[2026-05-12 11:52:33] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47616 | mensaje: client_id=send-6; group_id=2; seq=3; timestamp_ms=1778586753724; message=carga grupo 2
[2026-05-12 11:52:33] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47624 | mensaje: client_id=send-7; group_id=2; seq=3; timestamp_ms=1778586753739; message=carga grupo 2
[2026-05-12 11:52:33] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47634 | mensaje: client_id=send-10; group_id=2; seq=3; timestamp_ms=1778586753756; message=carga grupo 2
[2026-05-12 11:52:33] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47644 | mensaje: client_id=send-8; group_id=2; seq=3; timestamp_ms=1778586753763; message=carga grupo 2
[2026-05-12 11:52:33] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47656 | mensaje: client_id=send-9; group_id=2; seq=3; timestamp_ms=1778586753770; message=carga grupo 2
[2026-05-12 11:52:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47668 | mensaje: client_id=send-6; group_id=2; seq=4; timestamp_ms=1778586754731; message=carga grupo 2
[2026-05-12 11:52:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47674 | mensaje: client_id=send-7; group_id=2; seq=4; timestamp_ms=1778586754751; message=carga grupo 2
[2026-05-12 11:52:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47684 | mensaje: client_id=send-10; group_id=2; seq=4; timestamp_ms=1778586754764; message=carga grupo 2
[2026-05-12 11:52:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47688 | mensaje: client_id=send-8; group_id=2; seq=4; timestamp_ms=1778586754775; message=carga grupo 2
[2026-05-12 11:52:34] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47696 | mensaje: client_id=send-9; group_id=2; seq=4; timestamp_ms=1778586754779; message=carga grupo 2
[2026-05-12 11:52:35] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47712 | mensaje: client_id=send-6; group_id=2; seq=5; timestamp_ms=1778586755742; message=carga grupo 2
[2026-05-12 11:52:35] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47716 | mensaje: client_id=send-10; group_id=2; seq=5; timestamp_ms=1778586755766; message=carga grupo 2
[2026-05-12 11:52:35] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47718 | mensaje: client_id=send-7; group_id=2; seq=5; timestamp_ms=1778586755774; message=carga grupo 2
[2026-05-12 11:52:35] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47726 | mensaje: client_id=send-8; group_id=2; seq=5; timestamp_ms=1778586755779; message=carga grupo 2
[2026-05-12 11:52:35] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47742 | mensaje: client_id=send-9; group_id=2; seq=5; timestamp_ms=1778586755784; message=carga grupo 2
[2026-05-12 11:52:36] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47756 | mensaje: client_id=send-6; group_id=2; seq=6; timestamp_ms=1778586756749; message=carga grupo 2
[2026-05-12 11:52:36] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47772 | mensaje: client_id=send-10; group_id=2; seq=6; timestamp_ms=1778586756775; message=carga grupo 2
[2026-05-12 11:52:36] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47784 | mensaje: client_id=send-8; group_id=2; seq=6; timestamp_ms=1778586756786; message=carga grupo 2
[2026-05-12 11:52:36] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47788 | mensaje: client_id=send-7; group_id=2; seq=6; timestamp_ms=1778586756796; message=carga grupo 2
[2026-05-12 11:52:36] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:47800 | mensaje: client_id=send-9; group_id=2; seq=6; timestamp_ms=1778586756800; message=carga grupo 2
[2026-05-12 11:52:37] Grupo 2 | origen [2001:720:1d10:fff0:0:1:0:2]:60508 | mensaje: client_id=send-6; group_id=2; seq=7; timestamp_ms=1778586757754; message=carga grupo 2
